"Team","Pos 1","Pos 2","Pos 3","Pos 4","Pos 5","Pos 6","Pos 7","Pos 8","Pos 9","Pos 10","Pos 11","Pos 12","Pos 13","Pos 14"
"Drøbak-Frogn",0,0,0,505926,1064340,1082565,854388,868968,371790,34992,0,0,0,0
"Follo",0,0,0,91854,365229,583929,824499,1176606,1207224,533628,0,0,0,0
"Herd",0,0,0,65610,225261,325863,625482,1132866,1714608,693279,0,0,0,0
"Hødd 2",0,0,0,0,0,0,0,0,0,0,0,0,0,4782969
"KFUM 2",0,0,0,0,0,0,0,0,0,0,1554957,2381643,846369,0
"Kristiansund 2",0,0,0,0,0,0,0,0,0,0,118098,1003833,3661038,0
"Lokomotiv Oslo",0,0,0,2578473,1067985,725355,384912,25515,729,0,0,0,0,0
"Molde 2",0,4782969,0,0,0,0,0,0,0,0,0,0,0,0
"Oppsal",4782969,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ready",0,0,0,0,0,17496,135594,406782,776385,3269565,177147,0,0,0
"Rilindja",0,0,0,0,0,0,0,0,0,177147,2932767,1397493,275562,0
"Spjelkavik",0,0,0,909792,1292517,1067256,925830,417717,155277,14580,0,0,0,0
"Træff",0,0,4782969,0,0,0,0,0,0,0,0,0,0,0
"Ullern",0,0,0,631314,767637,980505,1032264,754515,556956,59778,0,0,0,0
